""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"MBD4"	0.87901425104154	0.296723055136489	4.23880297662867	9.10465516411864e-05	0.00133968497414889	1.07559182311762	"c4 vs. c2"	1.0211947551691	0.142180504127557
"TBL1XR1"	-0.928993101390734	0.551824125484311	-3.98518939588715	0.000208819266754241	0.00268854805946086	0.288915392568427	"c4 vs. c2"	0.0989298717752062	1.02792297316594
"IKZF1"	-1.09251128853599	0.261913039906557	-3.80296610170384	0.000373861419337415	0.0042786362435282	-0.260482216892242	"c4 vs. c2"	0.104148747161516	1.19666003569751
"FOXA1"	1.00055529663758	0.47823862940857	3.59416888123755	0.000717219306940109	0.00568672065797702	-0.872046723309916	"c4 vs. c2"	1.06314906967557	0.0625937730379959
"EBF1"	-1.11108722976143	0.42460185076876	-3.58269182125316	0.000742983254162624	0.00568672065797702	-0.905073903708779	"c4 vs. c2"	0.208515575404769	1.3196028051662
"FOXM1"	-1.28682947798636	0.438459443896958	-3.57626432075613	0.000757795557626231	0.00568672065797702	-0.923542453251271	"c4 vs. c2"	0.163463847510133	1.45029332549649
"PML"	-0.860908490536073	0.600280969563611	-3.56981036030428	0.000772952322443478	0.00568672065797702	-0.94206697583563	"c4 vs. c2"	0.0457815016008929	0.906689992136966
"POU2F2"	-0.830110418071024	0.322634289750661	-3.42922386882849	0.0011845528646117	0.00813392967033366	-1.34049389833897	"c4 vs. c2"	0.158258895641655	0.988369313712678
"SPI1"	-0.943257357717278	0.358863924310348	-3.38118107979584	0.00136784608570302	0.00880550917671318	-1.47435735607848	"c4 vs. c2"	0.198376222747357	1.14163358046464
"MEF2A"	-0.772193960960482	0.306026326850624	-3.2845663955448	0.00182092903859059	0.0110326877044018	-1.73989077295746	"c4 vs. c2"	0.0569115349035809	0.829105495864063
"FOXA2"	0.82131253260738	0.455557557340694	3.16096532923525	0.00260881984227964	0.0149282468752668	-2.07220299409309	"c4 vs. c2"	0.983983309353811	0.162670776746431
"BCL11A"	-0.76880565204489	0.316180393905458	-3.0856388699626	0.00323597841826378	0.0175424093200616	-2.27050616029904	"c4 vs. c2"	0.155676295993361	0.92448194803825
"RXRA"	1.0517691094183	0.504904333925081	2.75404663220271	0.0080645882493614	0.0388284672631909	-3.10302463051654	"c4 vs. c2"	1.30327325205884	0.251504142640541
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"PML"	-1.43040372539991	0.600280969563611	-5.93125761272355	2.38504606039057e-07	2.45659744220229e-05	6.74578666505068	"c4 vs. c3"	0.0457815016008929	1.4761852270008
"STAT5A"	-1.24269191331716	0.589696363590567	-4.9952222042048	6.8525101468709e-06	0.000247401528685212	3.49844137346639	"c4 vs. c3"	0.215789246092585	1.45848115940974
"MBD4"	1.0211947551691	0.296723055136489	4.92442911226907	8.78123034285993e-06	0.000247401528685212	3.25965331214693	"c4 vs. c3"	1.0211947551691	0
"NR2F2"	-1.11827394831663	0.403083554601956	-4.89867401307805	9.60782635670728e-06	0.000247401528685212	3.17307982323133	"c4 vs. c3"	0.202709472648222	1.32098342096486
"GATA2"	-1.35772697745769	0.513073811350122	-4.72394624459516	1.76187258642205e-05	0.000362945752802942	2.59021587027069	"c4 vs. c3"	0.317023870156454	1.67475084761414
"GATA1"	-1.87988554191552	0.611172004902522	-4.14888848900201	0.00012250210558293	0.00210295281250696	0.736100883858382	"c4 vs. c3"	0.134860784057519	2.01474632597304
"CCNT2"	-1.11462435502492	0.427354565005202	-4.05188684217626	0.00016822102633906	0.0024752522447033	0.434642072085141	"c4 vs. c3"	0.0952528501721075	1.20987720519703
"TAL1"	-1.28285807654441	0.483697172956424	-3.9833496993834	0.000210063522512992	0.00270456785235478	0.223863805343646	"c4 vs. c3"	0.200710878323579	1.48356895486799
"SMARCA4"	-1.04316631119813	0.329399740278937	-3.61064675679079	0.000681717437594142	0.00780187734135518	-0.887374267008351	"c4 vs. c3"	0.116154560212266	1.1593208714104
"HNF4G"	0.730295636821999	0.251662930764791	3.54565684169491	0.000832283969232137	0.00857252488309102	-1.07463260844442	"c4 vs. c3"	0.730295636821999	0
"TBL1XR1"	-0.795557307025652	0.551824125484311	-3.41277727362335	0.00124450165686337	0.0116530609688116	-1.45099052626437	"c4 vs. c3"	0.0989298717752062	0.894487178800858
"MYBL2"	0.929186799159407	0.468088244842314	3.22778053589292	0.00214996970224233	0.0179747189783754	-1.95963820802607	"c4 vs. c3"	0.960958113862116	0.0317713147027089
"RXRA"	1.22562889243883	0.504904333925081	3.20929669195015	0.00226865385163961	0.0179747189783754	-2.00943676516217	"c4 vs. c3"	1.30327325205884	0.0776443596200085
"MAX"	-0.970896182945263	0.588554043029235	-2.92921269376155	0.00501496589992494	0.0368958205494478	-2.73991751295245	"c4 vs. c3"	0.0680943903062947	1.03899057325156
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"MBD4"	0.876252863303269	0.296723055136489	4.79125184299833	1.39602748035366e-05	0.00143790830476427	2.94207993847561	"c4 vs. c5"	1.0211947551691	0.144941891865828
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"RUNX3"	-1.24340102286649	0.404093899906527	-6.27842839912628	6.69174041206252e-08	6.89249262442439e-06	7.95272462764417	"c5 vs. c2"	0.0991804041269688	1.34258142699346
"NFATC1"	-1.46711286882605	0.426431437351889	-5.91045504869922	2.57297416247024e-07	1.32508169367217e-05	6.64193475524532	"c5 vs. c2"	0.00486740755412544	1.47198027638018
"ATF2"	-1.14430498417467	0.402493588980431	-5.70782339686494	5.37392365331839e-07	1.84504712097265e-05	5.92619571241009	"c5 vs. c2"	0.0499970842663056	1.19430206844097
"RELA"	-1.15460818273615	0.3787565409306	-5.46558130020129	1.28800733762649e-06	3.3166188943882e-05	5.07793729558165	"c5 vs. c2"	0.205082006897327	1.35969018963348
"MTA3"	-1.52587666066961	0.462633162869106	-5.27338673943281	2.56173775130635e-06	5.27717976769108e-05	4.41179840256605	"c5 vs. c2"	0.058527802115935	1.58440446278555
"MEF2C"	-0.821136036761745	0.2135261881177	-5.1301090856611	4.26007650042926e-06	7.31313132573689e-05	3.91978860361712	"c5 vs. c2"	0.0727820236440049	0.89391806040575
