alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
ESRRA	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0742574257426	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
HDAC1	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.21084791673	-1.0	0.0837826733434	0.418538218574	-1.0	-1.0	-1.0	0.123366391311	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.205323437745	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.176315986257	-1.0	-1.0	-1.0	-1.0
NFE2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ATF2	-1.0	-1.0	-1.0	-1.0	-1.0	0.0372628669213	-1.0	0.0599888835074	-1.0	-1.0	-1.0	0.416030706979	-1.0	-1.0	0.30765046963	0.155911824443	0.246910144212	-1.0	-1.0	-1.0	-1.0	-1.0	0.390419127911	0.366390623119	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.171758285811	0.341480415669	-1.0	-1.0	-1.0	-1.0
FOXA2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.220968194855	0.146234380392	-1.0	-1.0	0.308383567471	-1.0	-1.0	-1.0	0.0963520655381	0.155911824443	-1.0	-1.0	-1.0	-1.0	0.126583121719	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.264668271864	-1.0	0.211956258805	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SIN3A	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.039614743463	-1.0	0.139700771957	-1.0	0.651382476768	0.152637602454	-1.0	0.606441863827	-1.0	-1.0	-1.0	0.202621718902	-1.0	-1.0	0.165395881965	-1.0	-1.0	-1.0	-1.0	0.32647496253	-1.0	0.336810385101	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.249889664041	-1.0	-1.0
FOXM1	-1.0	-1.0	-1.0	-1.0	-1.0	0.32082987118	-0.617510474121	0.0832205463621	-1.0	0.202736656793	-1.0	0.479083362409	-1.0	-1.0	0.637228326502	0.18436182942	0.288894099482	-1.0	0.288894099482	-1.0	-1.0	-1.0	0.448504405862	0.0968633090392	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0189883830701	-1.0	0.394846867084	-1.0	-1.0	-1.0
SMARCA4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
JUND	-1.0	0.52769225723	-0.620309007789	-1.0	-1.0	0.114308597486	0.670169987079	0.174811758185	0.0815035494259	-1.0	-1.0	-1.0	-1.0	0.0438951779973	0.0496751238476	-1.0	-1.0	-0.618823713114	-1.0	-1.0	-1.0	0.347000238339	-1.0	-1.0	-1.0	-1.0	0.606127269746	-1.0	0.0624293315923	-1.0	0.16227521414	-1.0	0.29861387463	-1.0	-1.0	-1.0	0.492273259687	-1.0
UBTF	-1.0	0.123659478955	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.484359189637	-1.0	-1.0	-1.0	0.0545984237967	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.151215230811	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.129227080741	-1.0	-1.0	-1.0	-1.0
